Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"19 Belinda Close, Kurunjang VIC 3337",1.034402144,Navan Park,Poor Park,3,1,1,House,390,-37.6693201,144.5792764
"4 Troups Road, Rockbank VIC 3335",8.64672529,Friends Of The Melton Botanic Garden,Poor Park,3,1,2,House,400,-37.7354952,144.6704142
"1/9 Casuarina Court, Melton West VIC 3337",0.813328564,Navan Park,Poor Park,3,2,1,House,400,-37.6635466,144.5673598
"61 Moore Street, Ararat VIC 3377",72.87805025,Black Range State Park,Poor Park,3,1,0,House,400,-37.2850556,142.9355895
"409 Talbot Street South, Ballarat Central VIC 3350",1.202688143,Sturt Street Gardens,Poor Park,3,1,4,House,400,-37.5696087,143.8415986
"10 McLean Street, Morwell VIC 3840",0.638989078,Morwell Centenary Rose Garden,Average Park,2,1,0,House,280,-38.2411879,146.3953754
"2/212 Derrimut Road, Hoppers Crossing VIC 3029",6.308582218,Shoestring Gardening,Poor Park,2,1,1,House,385,-37.8672046,144.685264
"8 Seascape Avenue, Cowes VIC 3922",0.448849581,NRMA Phillip Island Beachfront Holiday Park,Average Park,3,2,1,House,395,-38.4534235,145.22282
"1 Spencer Street, Canadian VIC 3350",0.697964213,NRMA Ballarat Holiday Park,Average Park,2,1,1,House,350,-37.5759338,143.8781466
"19 White Parade, Churchill VIC 3842",8.466056813,Morwell Centenary Rose Garden,Average Park,3,1,1,House,360,-38.3093066,146.4191401
"56 Harvey Rd, St Leonards VIC 3223",8.389409509,Bellarine Bayside Holiday Parks,Average Park,2,1,2,House,390,-38.1659578,144.712322
"128 Power Street, St Albans VIC 3021",3.325426025,Cairnlea Park,Poor Park,3,1,4,House,380,-37.7297016,144.7985114
"17 Talbot Street, Ballarat Central VIC 3350",0.671337829,Sturt Street Gardens,Poor Park,3,1,1,House,330,-37.5588531,143.8428502
"606 LA TROBE STREET, Redan VIC 3350",0.958163042,Morshead Park,Poor Park,2,1,2,House,350,-37.5722064,143.8346195
"29 Acacia Way, Churchill VIC 3842",7.54507043,Morwell Centenary Rose Garden,Average Park,3,1,4,House,370,-38.30166,146.4148454
"9 Churchill Drive, Cowes VIC 3922",1.221770451,NRMA Phillip Island Beachfront Holiday Park,Average Park,2,1,0,House,380,-38.4568357,145.2150867
"113 Webb Avenue, Ballarat East VIC 3350",0.540409212,Ballarat Community Garden,Poor Park,3,1,1,House,365,-37.5558355,143.8722587
"1 Heffernan Street, Laverton VIC 3028",3.061498292,Altona Green Park,Poor Park,3,1,0,House,390,-37.8618024,144.767309
"105 Little Dodds Street, Golden Point VIC 3350",0.281081547,NRMA Ballarat Holiday Park,Average Park,3,1,3,House,380,-37.5702112,143.8717929
"910 Warrenheip Street, Buninyong VIC 3357",9.140506176,NRMA Ballarat Holiday Park,Average Park,3,1,2,House,370,-37.6544633,143.8822338
"8A Saunders Close, Mount Pleasant VIC 3350",1.652294649,NRMA Ballarat Holiday Park,Average Park,2,2,1,House,380,-37.5837591,143.8588049
"95A Beverin Street, Sebastopol VIC 3356",1.873894972,Morshead Park,Poor Park,2,1,2,House,360,-37.5936373,143.8399024
"11 Holmes Street, Ballarat Central VIC 3350",0.88070583,Sturt Street Gardens,Poor Park,3,2,2,House,380,-37.5539758,143.854434
"16 Bittern Street, Melton VIC 3337",0.992593029,Navan Park,Poor Park,3,1,1,House,390,-37.6782715,144.5739647
"8 Eastview Court, Sebastopol VIC 3356",1.839982748,Morshead Park,Poor Park,3,1,1,House,350,-37.5903719,143.8441797
"7/209 Leith Street, Redan VIC 3350",1.02992997,Morshead Park,Poor Park,2,1,1,House,345,-37.5798479,143.8402523
"7 Forbes Street, Briagolong VIC 3860",29.48871777,Wallaby Rise Bush Camping Park,Poor Park,2,1,0,House,350,-37.846798,147.0723125
"4/92 Lawrence Street, Wodonga VIC 3690",111.5005834,Mount Samaria State Park,Poor Park,2,1,1,House,340,-36.1251647,146.8965104
"12 Butterfly Lane, Golden Point VIC 3350",0.584751794,Old Eastern Townhall Gardens,Poor Park,2,2,0,House,360,-37.5692363,143.864735
"23 Ercil Street, Wendouree VIC 3355",1.592367469,Pioneer Park,Poor Park,3,1,2,House,340,-37.5305594,143.834945
"29 Granault Parade, Corio VIC 3214",2.877044009,Fountain of Friendship Park,Poor Park,3,1,1,House,365,-38.0757329,144.3631436
"Room 7/11 Franklin Court, Frankston VIC 3199",1.524641475,Frankston Park,Poor Park,1,1,0,House,190,-38.1450265,145.1374603
"15 Hyacinth Grove, Wendouree VIC 3355",0.784318443,Pioneer Park,Poor Park,2,1,3,House,360,-37.5270782,143.822063
"3/11 Franklin Court, Frankston VIC 3199",1.524641475,Frankston Park,Poor Park,1,1,0,House,190,-38.1450265,145.1374603
"23 Blandford Street, Cobden VIC 3266",24.26892878,Brucknell Park Scout Camp,Poor Park,2,1,1,House,280,-38.3354111,143.0761466
"Room 8/2 Alba Street, Frankston North VIC 3200",3.809737835,Bunarong Park,Poor Park,1,1,0,House,300,-38.1221567,145.1612579
"Room 5 - 30 Daly Boulevard, Highton VIC 3216",4.435136734,Barwon Valley Park,Average Park,1,1,0,House,150,-38.196303,144.3061656
"9 Loan Street, Yea VIC 3717",22.47533245,Idlewild Park Farm Accommodation,Poor Park,2,1,1,House,380,-37.2112983,145.4284263
"16/322 Sydenham Road, Sydenham VIC 3037",4.283984432,Organ Pipes National Park,Average Park,3,2,2,House,390,-37.705485,144.773251
"1 Clover Street, Wendouree VIC 3355",1.352119236,Pioneer Park,Poor Park,3,1,2,House,370,-37.5313062,143.8169137
"5 Cuthberts Road, Alfredton VIC 3350",1.278100969,Ballarat Botanical Gardens,Good Park,3,1,1,House,400,-37.5553468,143.8117266
"4B Brophy St, Brown Hill VIC 3350",1.639977223,Ballarat Community Garden,Poor Park,3,2,2,House,390,-37.5539485,143.8947152
"18 Robin Avenue, Norlane VIC 3214",1.512405214,Fountain of Friendship Park,Poor Park,2,1,4,House,330,-38.0898529,144.3548468
"30 Malmesbury Street, Wendouree VIC 3355",0.995142897,Pioneer Park,Poor Park,3,1,0,House,365,-37.524696,143.8323283
"305 Sebastopol Street, Redan VIC 3350",1.1970166,Sturt Street Gardens,Poor Park,2,1,0,House,380,-37.571677,143.8477665
"8 Gumdale Place, Sebastopol VIC 3356",1.803494634,Morshead Park,Poor Park,2,1,1,House,360,-37.5943508,143.83643
